ཀུམ ཀུམ
སྐྱུངས སྐྱུང
སྐྱུད 0
སྐྱུར 0
སྐྱེ སྐྱེ
སྐྱེངས སྐྱེངས
སྐྱེད 0
སྐྱེལ 0
སྐྱེས སྐྱེ
སྐྱོ སྐྱོ
སྐྱོག སྐྱོག
སྐྱོགས སྐྱོག
སྐྱོང 0
སྐྱོངས 0
སྐྱོད 0
སྐྱོན 0
སྐྱོབ 0
སྐྱོབས 0
སྐྱོམ སྐྱོམ
སྐྱོམས སྐྱོམ
སྐྱོར 0
སྐྱོལ 0
སྐྱོས སྐྱ
སྐྲག སྐྲག
སྐྲང སྐྲང
སྐྲངས སྐྲང
སྐྲབ སྐྲབ
སྐྲུ སྐྲུ
སྐྲུན 0
སྐྲུས སྐྲུ
སྐྲོག 0
སྐྲོགས སྐྲོག
སྐྲོད 0
བརྐམ རྐམ
བརྐམས རྐམ
བརྐུ 0
བརྐུས 0
བརྐོ 0
བརྐོས 0
བརྐྱང རྐྱོང
བརྐྱངས རྐྱོང
བསྐང སྐོང
བསྐངས སྐོང
བསྐམ སྐེམ
བསྐམས སྐེམ
བསྐལ བསྐལ
བསྐུ སྐུད
བསྐུག སྐུག
བསྐུགས སྐུག
བསྐུང སྐུང
བསྐུངས སྐུང
བསྐུམ སྐུམ
བསྐུམས སྐུམ
བསྐུར 0
བསྐུལ 0
བསྐུས སྐུད
བསྐོ སྐོ
བསྐོང སྐོང
བསྐོངས སྐོང
བསྐོན 0
བསྐོར 0
བསྐོལ 0
བསྐོས སྐོ
བསྐྱ སྐྱ
བསྐྱང 0
བསྐྱངས 0
བསྐྱབ 0
བསྐྱབས 0
བསྐྱམ སྐྱོམ
བསྐྱམས སྐྱོམ
བསྐྱར 0
བསྐྱལ 0
བསྐྱས སྐྱ
བསྐྱི སྐྱི
བསྐྱིལ 0
བསྐྱིས སྐྱི
བསྐྱུག སྐྱུག
བསྐྱུགས སྐྱུག
བསྐྱུང སྐྱུང
བསྐྱུངས སྐྱུང
བསྐྱུད 0
བསྐྱུར 0
བསྐྱེད 0
བསྐྱོག སྐྱོག
བསྐྱོགས སྐྱོག
བསྐྱོད 0
བསྐྱོན 0
བསྐྱོམ སྐྱོམ
བསྐྱོམས སྐྱོམ
བསྐྱོར 0
བསྐྲད 0
བསྐྲུ སྐྲུ
བསྐྲུན 0
བསྐྲུས སྐྲུ
བསྐྲོག སྐྲོག
བསྐྲོགས སྐྲོག
ཁུག 0
ཁུགས ཁུག
ཁུན 0
ཁུམ འགུམ
ཁུམས 0
ཁུར 0
ཁེ ཁེ
ཁེག ཁེག
ཁེགས ཁེག
ཁེང ཁེང
ཁེངས ཁེང
ཁེད ཁེད
ཁེན ཁེན
ཁེབ ཁེབ
ཁེབས ཁེབ
ཁེར ཀེར
ཁེལ འཁེལ
ཁོག འགོག
ཁོང འགེངས
ཁོད 0
ཁོན 0
ཁོབ འགེབ
ཁོར 0
ཁོལ 0
ཁོས འགས
ཁྱག ཁྱག
ཁྱགས 0
ཁྱབ ཁྱབ
ཁྱིགས འཁྱིག
ཁྱེ 0
ཁྱེད 0
ཁྱེར 0
ཁྱེས 0
ཁྱོག ཁྱོག
ཁྱོགས 0
ཁྲིད 0
ཁྲིལ 0
ཁྲུལ ཁྲུལ
ཁྲུས འཁྲུད
ཁྲེམས ཁྲེམས
ཁྲེལ ཁྲེལ
ཁྲོ 0
ཁྲོག ཁྲོག
ཁྲོབ འཁྲབ
ཁྲོབས འཁྲབ
ཁྲོམ 0
ཁྲོལ 0
ཁྲོས 0
མཁས མཁས
མཁུ འཁུ
མཁུན འཁུན
མཁོན 0
མཁྱུད མཁྱུད
མཁྱེན མཁྱེན
འཁང འཁང
འཁངས འཁང
འཁལ 0
འཁུ འཁུ
འཁུན འཁུན
འཁུམ འཁུམ
འཁུམས འཁུམ
འཁུར 0
འཁུས འཁུ
འཁེགས 0
འཁེང འཁེང
འཁེངས འཁེང
འཁེབ ཁེབ
འཁེལ 0
འཁོད 0
འཁོན 0
འཁོབ འཁོབ
འཁོབས འཁོབ
འཁོར འཁོར
འཁོལ 0
འཁྱག འཁྱག
འཁྱགས འཁྱག
འཁྱམ འཁྱམ
འཁྱམས འཁྱམ
འཁྱར འཁྱར
འཁྱལ 0
འཁྱིག འཁྱིག
འཁྱིགས འཁྱིག
འཁྱིམས འཁྱིམས
འཁྱིར འཁྱིར
འཁྱིལ འཁྱིལ
འཁྱུག འཁྱུག
འཁྱུགས འཁྱུག
འཁྱུད འཁྱུད
འཁྱུས འཁྱུས
འཁྱེ གྱེས
འཁྱེར 0
འཁྱོག འཁྱོག
འཁྱོགས འཁྱོག
འཁྱོང 0
འཁྱོངས 0
འཁྱོམ འཁྱོམ
འཁྱོམས 0
འཁྱོར འཁྱོར
འཁྱོལ འཁྱོལ
འཁྲ 0
འཁྲད འཁྲད
འཁྲབ འཁྲབ
འཁྲབས འཁྲབ
འཁྲས 0
འཁྲིག འཁྲིག
འཁྲིགས འཁྲིགས
འཁྲིད 0
འཁྲིམས འཁྲིམས
འཁྲིལ འཁྲིལ
འཁྲིས འཁྲི
འཁྲུ འཁྲུ
འཁྲུག 0
འཁྲུགས 0
འཁྲུང འཁྲུང
འཁྲུངས འཁྲུང
འཁྲུད འཁྲུད
འཁྲུལ འཁྲུལ
འཁྲུས འཁྲུ
འཁྲེང འཁྲེང
འཁྲེན འཁྲེན
འཁྲེབ འཁྲེབ
འཁྲེབས འཁྲེབ
འཁྲོ 0
འཁྲོག 0
འཁྲོགས 0
འཁྲོབས འཁྲབ
འཁྲོལ འཁྲོལ
འཁྲོས 0
གང གང
གབ གབ
གས གས
གུམ གུམ
གོ གོ
གོག གོག
གོད གོད
གོན གོན
གོབ གབ
གོམས གོམས
གོལ གོལ
གོས གོས
གྱིས བགྱིད
གྱུར འགྱུར
གྱེད གྱེད
གྱེར གྱེར
གྱེས 0
གྱོན གྱོན
གྱོལ གྱོལ
གྲག གྲག
གྲགས གྲག
གྲང གྲང
གྲིམ གྲིམས
གྲིམས གྲིམས
གྲིལ 0
གྲུག གྲུག
གྲུགས གྲུག
གྲུངས 0
གྲུབ འགྲུབ
གྲུམ གྲུམ
གྲུམས གྲུམ
གྲུས བགྲུད
གྲེམས 0
གྲོངས གྲོངས
གྲོན གྲོན
གྲོལ གྲོལ
གླ གླ
གླན 0
གླལ གླལ
གླས གླ
གླེང 0
གླེངས 0
གླེབ 0
གླེབས 0
གློང 0
གློངས 0
གློད ཀློད
གློན 0
གློས གླ
དགག འགོག
དགང འགེངས
དགད འགད
དགབ འགེབ
དགའ དགའ
དགར 0
དགལ འགེལ
དགས འགས
དགུག འགུགས
དགུམ འགུམ
དགུར དགུར
དགོག འགོག
དགོངས དགོངས
དགོད 0
དགོལ འཁོལ
དགྱེ དགྱེ
དགྱེད འགྱེད
དགྱེལ དགྱེལ
དགྱེས དགྱེས
དགྲམ 0
དགྲོང དགྲོང
དགྲོངས དགྲོང
དགྲོལ 0
བགག 0
བགགས 0
བགད དགོད
བགམ བགམ
བགམས བགམ
བགོ 0
བགོགས བསྒགས
བགོད 0
བགོམ འགོམ
བགོམས 0
བགོར 0
བགོས 0
བགྱང 0
བགྱངས 0
བགྱི བགྱིད
བགྱིད བགྱིད
བགྱིས བགྱིད
བགྱོངས 0
བགྲང བགྲང
བགྲངས བགྲང
བགྲད བགྲད
བགྲིལ བགྲིལ
བགྲུ 0
བགྲུང 0
བགྲུངས 0
བགྲུད 0
བགྲུས 0
བགྲེས བགྲེས
བགྲོ 0
བགྲོང དགྲོང
བགྲོངས བགྲང
བགྲོད 0
བགྲོས 0
མགར མགར
མགུ མགུ
མགོར མགར
འགག འགག
འགགས འགག
འགད འགད
འགམ འགེམ
འགམས འགེམ
འགལ འགལ
འགས འགས
འགུག 0
འགུགས འགུགས
འགུམ འགུམ
འགུལ འགུལ
འགེགས 0
འགེངས འགེངས
འགེབ འགེབ
འགེམ 0
འགེམས 0
འགེར འགེར
འགེལ བཀལ
འགོ འགོ
འགོག འགོག
འགོང 0
འགོངས 0
འགོད འགོད
འགོམ འགོམ
འགོམས 0
འགོར 0
འགོས འགོ
འགྱང འགྱང
འགྱངས འགྱང
འགྱམ འགྱམ
འགྱིང 0
འགྱིངས 0
འགྱུ འགྱུ
འགྱུར འགྱུར
འགྱུས འགྱུ
འགྱེ 0
འགྱེད འགྱེད
འགྱེལ འགྱེལ
འགྱོག འགྱོག
འགྱོད འགྱོད
འགྲང འགྲང
འགྲངས འགྲང
འགྲན འགྲན
འགྲས འགྲས
འགྲིག འགྲིག
འགྲིགས འགྲིག
འགྲིབ འགྲིབ
འགྲིམ 0
འགྲིམས 0
འགྲིལ འགྲིལ
འགྲུབ འགྲུབ
འགྲེ འགྲེ
འགྲེང 0
འགྲེངས 0
འགྲེད 0
འགྲེམ 0
འགྲེལ འགྲེལ
འགྲེས འགྲེ
འགྲོ 0
འགྲོག འགྲོགས
འགྲོགས འགྲོགས
འགྲོང 0
འགྲོངས 0
འགྲོལ འགྲོལ
རྒ རྒ
རྒལ རྒལ
རྒས རྒ
རྒུད རྒུད
རྒོལ 0
རྒྱ རྒྱ
རྒྱག རྒྱག
རྒྱགས རྒྱགས
རྒྱན 0
རྒྱལ རྒྱལ
རྒྱས 0
རྒྱུ རྒྱུ
རྒྱུག རྒྱུག
རྒྱུགས རྒྱུག
རྒྱུང རྒྱུང
རྒྱུངས རྒྱུང
རྒྱུད རྒྱུད
རྒྱུས རྒྱུད
རྒྱོ རྒྱོ
རྒྱོགས རྒྱག
རྒྱོང རྒྱོང
རྒྱོངས རྒྱོང
རྒྱོན བརྒྱན
རྒྱོབ རྒྱག
རྒྱོས རྒྱོ
སྒབ སྒབ
སྒར 0
སྒུག 0
སྒུགས 0
སྒུར 0
སྒུལ 0
སྒོ 0
སྒོག སྒོག
སྒོགས སྒོག
སྒོང སྒོང
སྒོངས སྒོང
སྒོབས སྒབ
སྒོམ སྒོམ
སྒོམས སྒོམ
སྒོར 0
སྒོས 0
སྒྱང སྒྱང
སྒྱིང སྒྱིང
སྒྱིངས སྒྱིང
སྒྱུར 0
སྒྱེལ 0
སྒྱོངས སྒྱང
སྒྲང སྒྲང
སྒྲིག སྒྲིག
སྒྲིགས སྒྲིག
སྒྲིན 0
སྒྲིབ སྒྲིབ
སྒྲིབས སྒྲིབ
སྒྲིམ སྒྲིམ
སྒྲིམས སྒྲིམ
སྒྲིལ 0
སྒྲུག སྒྲུག
སྒྲུགས སྒྲུག
སྒྲུང 0
སྒྲུངས 0
སྒྲུན 0
སྒྲུབ སྒྲུབ
སྒྲུབས སྒྲུབ
སྒྲེ 0
སྒྲེང སྒྲེང
སྒྲེངས སྒྲེང
སྒྲེས 0
སྒྲོ སྒྲོ
སྒྲོག སྒྲོག
སྒྲོགས སྒྲོག
སྒྲོངས སྒྲང
སྒྲོད སྒྲོད
སྒྲོན 0
སྒྲོལ 0
སྒྲོས སྒྲོ
བརྒད 0
བརྒལ 0
བརྒྱག 0
བརྒྱགས 0
བརྒྱང རྒྱོང
བརྒྱངས རྒྱོང
བརྒྱན 0
བརྒྱབ རྒྱག
བརྒྱལ བརྒྱལ
བརྒྱུ རྒྱུད
བརྒྱུག རྒྱུག
བརྒྱུགས རྒྱུག
བརྒྱུང རྒྱུང
བརྒྱུངས རྒྱུང
བརྒྱུད བརྒྱུད
བརྒྱུས རྒྱུད
བརྒྱོ རྒྱོ
བརྒྱོས རྒྱོ
བསྒག སྒོག
བསྒགས སྒོག
བསྒབ སྒབ
བསྒབས སྒབ
བསྒར 0
བསྒུག 0
བསྒུགས 0
བསྒུར 0
བསྒུལ 0
བསྒོ 0
བསྒོང 0
བསྒོངས སྒོང
བསྒོམ སྒོམ
བསྒོམས སྒོམ
བསྒོས 0
བསྒྱང སྒྱང
བསྒྱངས སྒྱང
བསྒྱིང སྒྱིང
བསྒྱིངས སྒྱིང
བསྒྱུར 0
བསྒྱེལ 0
བསྒྲག སྒྲོག
བསྒྲགས སྒྲོག
བསྒྲང སྒྲང
བསྒྲངས སྒྲང
བསྒྲད 0
བསྒྲལ 0
བསྒྲིག སྒྲིག
བསྒྲིགས སྒྲིག
བསྒྲིན 0
བསྒྲིབ སྒྲིབ
བསྒྲིབས སྒྲིབ
བསྒྲིམ སྒྲིམ
བསྒྲིམས སྒྲིམ
བསྒྲིལ 0
བསྒྲུག སྒྲུག
བསྒྲུགས སྒྲུག
བསྒྲུང 0
བསྒྲུངས 0
བསྒྲུན 0
བསྒྲུབ སྒྲུབ
བསྒྲུབས སྒྲུབ
བསྒྲེ 0
བསྒྲེང སྒྲེང
བསྒྲེངས སྒྲེང
བསྒྲེས 0
བསྒྲོ སྒྲོ
བསྒྲོག སྒྲོག
བསྒྲོགས སྒྲོག
བསྒྲོད སྒྲོད
བསྒྲོན 0
བསྒྲོས སྒྲོ
ངར ངར
ངལ ངལ
ངུ 0
ངུར ངུར
ངུས 0
ངེར ངེར
ངེས ངེས
ངོམ 0
ངོམས 0
དངང དངང
དངངས དངང
དངར དངར
མངག མངག
མངགས མངག
མངལ མངལ
མངོགས མངག
མངོན མངོན
རྔ རྔ
རྔན རྔན
རྔབ རྔབ
རྔམ 0
རྔུབ རྔུབ
རྔུབས རྔུབ
རྔུལ རྔུལ
རྔོད 0
རྔོན 0
རྔོམས 0
རྔོས 0
སྔག བསྔགས
སྔངས སྔངས
སྔབ སྔབ
སྔམ སྔམ
སྔོ 0
སྔོག སྔོག
སྔོགས སྔོག
སྔོངས སྔངས
སྔོས 0
བརྔ རྔ
བརྔད བརྔད
བརྔན 0
བརྔབ རྔབ
བརྔབས རྔབ
བརྔམ 0
བརྔམས 0
བརྔས རྔ
བརྔུབ རྔུབ
བརྔུབས རྔུབ
བརྔོ 0
བརྔོད 0
བརྔོན 0
བརྔོས 0
བསྔག བསྔག
བསྔགས བསྔགས
བསྔང སྔངས
བསྔངས སྔངས
བསྔས བསྔས
བསྔོ 0
བསྔོག སྔོག
བསྔོགས སྔོག
བསྔོས 0
ཅིལ འཇིལ
ཅེམ ཅེམ
ཅེམས ཅེམ
ཅེར 0
གཅག 0
གཅད གཅོད
གཅར གཅར
གཅི 0
གཅིར འཆིར
གཅིལ གཅིལ
གཅིས 0
གཅུ 0
གཅུགས གཅུགས
གཅུད གཅུད
གཅུན 0
གཅུར འཇུར
གཅུས 0
གཅེས གཅེས
གཅོག གཅོག
གཅོད གཅོད
གཅོམ གཅོམ
གཅོར གཅར
གཅོལ གཅོལ
བཅག 0
བཅགས འཆག
བཅང 0
བཅངས 0
བཅད གཅོད
བཅབ འཆབ
བཅབས འཆབ
བཅམས གཅོམ
བཅའ 0
བཅར གཅར
བཅལ འཇལ
བཅས 0
བཅིང 0
བཅིངས 0
བཅིབ འཆིབ
བཅིབས འཆིབ
བཅིར འཆིར
བཅིལ འཇིལ
བཅུ 0
བཅུག འཇུག
བཅུན 0
བཅུམ འཇུམ
བཅུམས འཇུམ
བཅུར འཇུར
བཅུས 0
བཅེམ ཅེམ
བཅེམས ཅེམ
བཅེར 0
བཅོ འཆོས
བཅོམ 0
བཅོལ 0
བཅོས 0
ལྕིགས ལྕིགས
ལྕིབས ལྕིབས
ལྕེབ 0
ལྕེབས 0
ཆག འཆག
ཆགས 0
ཆད 0
ཆས ཆས
ཆིངས ཆིངས
ཆིབས འཆིབ
ཆིར འཆིར
ཆིལ འཇིལ
ཆུག འཇུག
ཆུགས འཇུག
ཆུད ཆུད
ཆུན 0
ཆུབ ཆུབ
ཆུམ འཇུམ
ཆུམས འཇུམ
ཆུར འཇུར
ཆུས 0
ཆོག 0
ཆོགས འཆག
ཆོངས 0
ཆོད 0
ཆོབས འཆབ
ཆོམ འཇོམས
ཆོམས གཅོམ
ཆོར གཅར
ཆོལ འཆོལ
ཆོས 0
མཆི མཆི
མཆིད མཆིད
མཆིས མཆི
མཆེད མཆེད
མཆོང 0
མཆོངས 0
མཆོད མཆོད
མཆོར མཆོར
འཆག འཆག
འཆགས བཤགས
འཆང 0
འཆད 0
འཆབ འཆབ
འཆམ འཆམ
འཆམས འཆམ
འཆའ 0
འཆར འཆར
འཆལ འཆལ
འཆི འཆི
འཆིང 0
འཆིབ འཆིབ
འཆིར འཆིར
འཆུ 0
འཆུག འཆུག
འཆུགས འཆུག
འཆུན 0
འཆུམ 0
འཆུམས 0
འཆུས འཆུ
འཆེ 0
འཆེག འཆེག
འཆེལ འཆེལ
འཆེས 0
འཆོ 0
འཆོགས བཤགས
འཆོབས འཆབ
འཆོམས འཆམ
འཆོར འཆོར
འཆོལ 0
འཆོས 0
མཇལ མཇལ
མཇེད མཇེད
མཇོལ མཇལ
འཇག འཇག
འཇགས 0
འཇངས འཇོང
འཇབ འཇབ
འཇབས འཇབ
འཇའ ཞ
འཇར འཇར
འཇལ འཇལ
འཇས ཞ
འཇིག འཇིག
འཇིགས འཇིགས
འཇིབ འཇིབ
འཇིབས འཇིབ
འཇིལ འཇིལ
འཇུ 0
འཇུག འཇུག
འཇུན འཇུན
འཇུམ འཇུམ
འཇུར འཇུར
འཇུས 0
འཇོ འཇོ
འཇོག འཇོག
འཇོང འཇོང
འཇོངས འཇོང
འཇོབ འཇབ
འཇོམས འཇོམས
འཇོལ 0
འཇོས འཇོ
རྗེ རྗེ
རྗེད 0
རྗེས རྗེ
རྗོད 0
བརྗེ རྗེ
བརྗེད 0
བརྗེས 0
བརྗོད 0
ཉ ཉ
ཉན 0
ཉམས ཉམས
ཉར ཉར
ཉལ ཉལ
ཉིལ ཉིལ
ཉུག 0
ཉུགས 0
ཉུལ ཉུལ
ཉེད 0
ཉེན ཉེན
ཉེས ཉེས
ཉོ 0
ཉོན 0
ཉོབ ཉོབ
ཉོར ཉར
ཉོལ ཉལ
ཉོས 0
གཉག གཉོག
གཉགས གཉོག
གཉད གཉོད
གཉིད གཉིད
གཉིལ གཉིལ
གཉུལ གཉུལ
གཉེར གཉེར
གཉེལ གཉེལ
གཉོག 0
གཉོགས 0
གཉོད གཉོད
མཉན 0
མཉམ མཉམ
མཉེ 0
མཉེད 0
མཉེལ མཉེལ
མཉེས 0
རྙ རྙ
རྙང རྙང
རྙབ རྙབ
རྙིང 0
རྙིད རྙིད
རྙེད རྙེད
རྙོག རྙོག
རྙོགས རྙོག
རྙོང རྙོང
རྙོངས 0
རྙོན 0
རྙོབ རྙོབ
རྙོབས རྙབ
རྙོས རྙ
སྙ སྙ
སྙད སྙད
སྙམ སྙམ
སྙལ 0
སྙས སྙ
སྙིག སྙིག
སྙིགས 0
སྙིལ 0
སྙུག སྙུག
སྙུགས སྙུག
སྙུང སྙུང
སྙུངས སྙུང
སྙུན 0
སྙུལ 0
སྙེ སྙེ
སྙེག སྙེག
སྙེགས སྙེག
སྙེང སྙེང
སྙེངས སྙེང
སྙེན 0
སྙེམ སྙེམ
སྙེམས སྙེམ
སྙེར 0
སྙེལ 0
སྙེས སྙེ
སྙོག སྙོག
སྙོགས 0
སྙོད 0
སྙོན 0
སྙོབ སྙོབ
སྙོབས སྙོབ
སྙོམ སྙོམ
སྙོམས སྙོམ
སྙོར 0
སྙོལ 0
བརྙ རྙ
བརྙང རྙང
བརྙངས རྙང
བརྙན 0
བརྙབ རྙབ
བརྙབས རྙབ
བརྙས 0
བརྙིང 0
བརྙིངས 0
བརྙིད 0
བརྙིས 0
བརྙེས བརྙེས
བརྙོག རྙོག
བརྙོགས རྙོག
བརྙོང རྙོང
བརྙོངས རྙོང
བརྙོས བརྙོས
བསྙག སྙོག
བསྙགས སྙོག
བསྙད 0
བསྙབ སྙོབ
བསྙབས སྙོབ
བསྙམ སྙོམ
བསྙམས སྙོམ
བསྙལ 0
བསྙིག སྙིག
བསྙིགས སྙིག
བསྙིལ 0
བསྙུག སྙུག
བསྙུགས སྙུག
བསྙུང སྙུང
བསྙུངས སྙུང
བསྙུན 0
བསྙུལ 0
བསྙེ སྙེ
བསྙེག སྙེག
བསྙེགས སྙེག
བསྙེང སྙེང
བསྙེངས སྙེང
བསྙེན 0
བསྙེམ སྙེམ
བསྙེམས སྙེམ
བསྙེར 0
བསྙེལ 0
བསྙེས སྙེ
བསྙོག སྙོག
བསྙོགས སྙོག
བསྙོད 0
བསྙོན 0
བསྙོར 0
བསྙོལ 0
ཏིངས འདིང
གཏག གཏག
གཏགས གཏག
གཏང གཏོང
གཏད གཏོད
གཏན གཏན
གཏམས གཏམས
གཏའ 0
གཏར གཏར
གཏས 0
གཏི གཏི
གཏིག གཏིག
གཏིགས གཏིག
གཏིབ 0
གཏིབས 0
གཏིམ གཏིམ
གཏུག 0
གཏུགས 0
གཏུབ 0
གཏུབས 0
གཏུམ 0
གཏུལ གཏུལ
གཏོག 0
གཏོགས 0
གཏོང གཏོང
གཏོད 0
གཏོན གཏན
གཏོམས གཏམས
གཏོར 0
བཏག 0
བཏགས 0
བཏང གཏོང
བཏབ འདེབས
བཏམ འདམ
བཏམས འདམ
བཏིག གཏིག
བཏིགས གཏིག
བཏིངས འདིང
བཏུ 0
བཏུང འཐུང
བཏུངས འཐུང
བཏུད འདུད
བཏུབ བཏུབ
བཏུམ 0
བཏུལ འདུལ
བཏུས 0
བཏེག 0
བཏེགས ཐེག
བཏོག འཐོག
བཏོགས འཐོག
བཏོད 0
བཏོན འདོན
བཏོལ བཏོལ
རྟབ རྟབ
རྟས རྟས
རྟིབས རྟིབ
རྟུན 0
རྟུལ 0
རྟེན 0
རྟོག རྟོག
རྟོགས 0
རྟོད 0
རྟོན 0
རྟོལ 0
ལྟ ལྟ
ལྟབ ལྟབ
ལྟམ 0
ལྟིར ལྟིར
ལྟུང ལྟུང
ལྟུངས ལྟུང
ལྟེབ ལྟེབ
ལྟེབས ལྟེབ
ལྟེམ ལྟེམ
ལྟེམས ལྟེམ
ལྟོགས ལྟོགས
ལྟོབས ལྟབ
ལྟོམས 0
ལྟོས 0
སྟང སྟང
སྟར 0
སྟི 0
སྟིང སྟིང
སྟིངས སྟིང
སྟིམ སྟིམ
སྟིམས སྟིམ
སྟིས 0
སྟུང སྟུང
སྟུངས སྟུང
སྟུད 0
སྟུན 0
སྟེག སྟེག
སྟེན 0
སྟེར སྟེར
སྟོང སྟོང
སྟོངས 0
སྟོད 0
སྟོན སྟོན
སྟོབ སྟོབ
སྟོབས སྟོབ
སྟོར 0
བརྟ རྟས
བརྟག རྟོག
བརྟགས རྟོག
བརྟན 0
བརྟབ རྟབ
བརྟབས རྟབ
བརྟས རྟས
བརྟིབ རྟིབ
བརྟིབས རྟིབ
བརྟུན 0
བརྟུལ 0
བརྟེན 0
བརྟོད 0
བརྟོལ 0
བལྟ ལྟ
བལྟབ ལྟབ
བལྟབས ལྟབ
བལྟམ 0
བལྟམས 0
བལྟས ལྟ
བལྟེབ ལྟེབ
བལྟེབས ལྟེབ
བསྟང སྟང
བསྟངས སྟང
བསྟད 0
བསྟན སྟོན
བསྟབ སྟོབ
བསྟབས སྟོབ
བསྟར 0
བསྟི 0
བསྟིང སྟིང
བསྟིངས སྟིང
བསྟིམ སྟིམ
བསྟིམས སྟིམ
བསྟིས 0
བསྟུང སྟུང
བསྟུངས སྟུང
བསྟུད 0
བསྟུན 0
བསྟེན 0
བསྟོང 0
བསྟོངས 0
བསྟོད བསྟོད
ཐག འཐག
ཐང ཐང
ཐར ཐར
ཐལ ཐལ
ཐིགས ཐིགས
ཐིང འདིང
ཐིངས ཐིངས
ཐིམ 0
ཐུག ཐུག
ཐུངས འཐུང
ཐུད འདུད
ཐུམ 0
ཐུམས དུམ
ཐུལ 0
ཐུས 0
ཐེ ཐེ
ཐེག 0
ཐེགས ཐེག
ཐེངས ཐེངས
ཐེད ཐེད
ཐེན ཐེན
ཐེབས ཐེབས
ཐེམ 0
ཐེམས 0
ཐོག འདོག
ཐོགས 0
ཐོང 0
ཐོད 0
ཐོན 0
ཐོབ 0
ཐོམ འདམ
ཐོམས སོམས
ཐོར འཐོར
ཐོས ཐོས
མཐུད མཐུད
མཐུན མཐུན
མཐོང མཐོང
མཐོལ མཐོལ
འཐག 0
འཐད འཐད
འཐབ འཐབ
འཐབས འཐབ
འཐམ འཐམ
འཐམས འཐམ
འཐས འཐས
འཐིག འཐིག
འཐིགས འཐིག
འཐིབ འཐིབ
འཐིབས འཐིབ
འཐིམ འཐིམ
འཐུ 0
འཐུང འཐུང
འཐུངས འཐུང
འཐུད 0
འཐུམ 0
འཐུལ 0
འཐུས འཐུ
འཐེང འཐེང
འཐེངས འཐེང
འཐེན འཐེན
འཐེབ འཐེབ
འཐེབས འཐེབ
འཐེམ འཐེམ
འཐོག འཐོག
འཐོགས 0
འཐོན 0
འཐོབ འཐོབ
འཐོབས འཐབ
འཐོམ འཐོམ
འཐོམས 0
འཐོར འཐོར
འཐོལ 0
དག འདག
དད དད
དར དར
དུགས གདུག
དུང དུང
དུངས དུང
དུད དུད
དུབ དུབ
དུམ དུམ
དེངས 0
དེད 0
དོགས དོགས
དོང དོང
དོངས འདོང
དོད 0
དོར 0
དྭངས དྭངས
དྲ འདྲ
དྲག དྲག
དྲང འདྲེན
དྲངས འདྲེན
དྲན དྲན
